Sample	stats_Sample_name	stats_Strandness	stats_Number_of_frag	stats_Number_of_rRNA	stats_Percent_of_rRNA	stats_Number_of_aligned	stats_Percent_of_aligned	stats_Number_of_uniquely_aligned	stats_Percent_uniquely_aligned	stats_Number_of_multiple_aligned	stats_Percent_multiple_aligned	stats_Number_of_duplicates	stats_Percent_duplicates	stats_Percent_saturation
D1472T01	EV-01-030	reverse	22083669.0	718643.0	3.25	12666936.0	57.36	10582607.0	47.92	2084329.0	9.44	11518028.0	90.93	28.69
D1472T02	EV-01-013	reverse	27258090.0	335409.0	1.23	4643333.0	17.03	3774261.0	13.85	869072.0	3.19	3847252.0	82.86	24.57
D1472T03	EV-01-017	reverse	29938897.0	1021242.0	3.41	15056976.0	50.29	12377700.0	41.34	2679276.0	8.95	14222041.0	94.45	27.66
D1472T04	EV-01-018	reverse	23712753.0	1247649.0	5.26	13629194.0	57.48	9759909.0	41.16	3869285.0	16.32	12594785.0	92.41	29.18
D1472T05	EV-01-025	reverse	19734956.0	899349.0	4.56	13576190.0	68.79	10485155.0	53.13	3091035.0	15.66	12395904.0	91.31	28.84
D1472T06	EV-01-070	reverse	22636664.0	896829.0	3.96	14626079.0	64.61	11661302.0	51.52	2964777.0	13.1	13577015.0	92.83	31.59
D1472T07	EV-01-032	reverse	20677488.0	1062302.0	5.14	13839954.0	66.93	9956505.0	48.15	3883449.0	18.78	12598316.0	91.03	32.22
D1472T08	EV-01-074	reverse	14928992.0	910946.0	6.1	8155189.0	54.63	5628191.0	37.7	2526998.0	16.93	6733503.0	82.57	25.1
D1472T09	EV-01-078	reverse	17554514.0	982274.0	5.6	10222560.0	58.23	7958978.0	45.34	2263582.0	12.89	9249996.0	90.49	28.39
D1472T10	EV-01-079	reverse	16810161.0	688033.0	4.09	8828135.0	52.52	7020040.0	41.76	1808095.0	10.76	7595675.0	86.04	25.36
D1472T11	EV-01-098	reverse	15045549.0	1605535.0	10.67	8851688.0	58.83	6427774.0	42.72	2423914.0	16.11	7199904.0	81.34	26.17
