Sample	stats_Number_of_reads	stats_Strandness	stats_Percent_uniquely_aligned_reads	stats_Sample_name	stats_Percent_duplicates	stats_Number_of_uniquely_aligned_reads	stats_Number_of_rRNA	stats_Percent_of_aligned_reads	stats_Number_of_multiple_aligned_reads	stats_Number_of_duplicates	stats_Percent_of_rRNA	stats_Percent_multiple_aligned	stats_Number_of_aligned_reads
D492-D485T25	109962247.0	reverse	86.55	22_pre_II	15.55	95172092.0	1222463.0	93.0	7090389.0	17101902.0	1.11	6.45	102262481.0
D492-D485T26	141133743.0	reverse	87.16	23_pre_II	17.13	123013892.0	1244808.0	93.82	9393039.0	24178873.0	0.88	6.66	132406931.0
D492-D485T27	110142891.0	reverse	86.53	24_pre_II	20.45	95308267.0	570417.0	93.4	7564807.0	22528426.0	0.52	6.87	102873074.0
D492-D485T28	123672156.0	reverse	85.68	25_pre_II	17.9	105962768.0	878978.0	91.47	7157364.0	22135748.0	0.71	5.79	113120132.0
D492-D485T29	134130431.0	reverse	83.78	26_pre_III	19.86	112371983.0	2148215.0	91.31	10096841.0	26639146.0	1.6	7.53	122468824.0
D492-D485T30	148797423.0	reverse	84.72	27_post_II	17.04	126057477.0	1731782.0	91.23	9688041.0	25359305.0	1.16	6.51	135745518.0
D492-D485T31	172467463.0	reverse	86.63	28_post_II	16.98	149402358.0	3009460.0	92.79	10630005.0	29292102.0	1.74	6.16	160032363.0
D492-D485T32	252951201.0	reverse	83.28	29_post_III	27.64	210650984.0	2656259.0	90.06	17159564.0	69910303.0	1.05	6.78	227810548.0
D492-D485T33	255787344.0	reverse	86.05	30_post_II	23.07	220114838.0	3606712.0	92.82	17317441.0	59009405.0	1.41	6.77	237432279.0
D492-D485T34	120729479.0	reverse	83.81	31_post_II	18.53	101183799.0	1985304.0	91.31	9050086.0	22365401.0	1.64	7.5	110233885.0
D492-D485T35	129374555.0	reverse	85.94	32_pre_0	16.41	111180694.0	1822640.0	92.82	8899059.0	21236137.0	1.41	6.88	120079753.0
D492-D485T36	178392089.0	reverse	85.46	33_pre_0	20.3	152450737.0	1979112.0	92.43	12438105.0	36213909.0	1.11	6.97	164888842.0
D492-D485T37	122288410.0	reverse	86.72	34_pre_0	16.01	106042862.0	1169719.0	92.89	7555628.0	19574127.0	0.96	6.18	113598490.0
D492-D485T38	145024738.0	reverse	85.25	35_pre_I	17.81	123634629.0	2380711.0	92.31	10232670.0	25830372.0	1.64	7.06	133867299.0
D492-D485T39	195446756.0	reverse	86.89	36_pre_II	16.86	169814358.0	2089598.0	93.25	12443432.0	32954395.0	1.07	6.37	182257790.0
D492-D485T40	114155269.0	reverse	87.26	37_pre_0	15.83	99617594.0	1008817.0	93.35	6948309.0	18069895.0	0.88	6.09	106565903.0
D492-D485T41	93604280.0	reverse	87.45	38_pre_II	18.21	81852353.0	606729.0	93.18	5367625.0	17041542.0	0.65	5.73	87219978.0
D492-D485T42	122679290.0	reverse	84.63	39_pre_0	16.71	103819822.0	1681407.0	92.02	9072546.0	20498392.0	1.37	7.4	112892368.0
D492-D485T43	151164850.0	reverse	85.85	40_pre_0	19.13	129770256.0	1005736.0	92.74	10418368.0	28923208.0	0.67	6.89	140188624.0
D492-D485T44	119571792.0	reverse	85.74	41_pre_0	20.15	102524675.0	1202564.0	92.72	8348117.0	24089438.0	1.01	6.98	110872792.0
D492-D485T45	129757055.0	reverse	87.01	42_pre_I	14.97	112903363.0	1253996.0	93.09	7885438.0	19421067.0	0.97	6.08	120788801.0
D492-D485T46	103408180.0	reverse	85.04	43_pre_II	18.71	87934019.0	1198467.0	91.1	6274714.0	19344925.0	1.16	6.07	94208733.0
D492-D485T47	125826741.0	reverse	84.43	44_pre_0	19.19	106234704.0	1553429.0	91.01	8274837.0	24150695.0	1.23	6.58	114509541.0
D492-D485T48	115564593.0	reverse	86.19	45_pre_II	17.91	99601716.0	1018699.0	92.71	7535461.0	20698571.0	0.88	6.52	107137177.0
D492-D485T49	116465100.0	reverse	87.81	46_pre_III	19.29	102270416.0	752524.0	93.14	6210122.0	22464795.0	0.65	5.33	108480538.0
D492-D485T50	147091637.0	reverse	84.68	47_pre_II	18.12	124550187.0	2112286.0	92.11	10941038.0	26652829.0	1.44	7.44	135491225.0
D492-D485T51	108282335.0	reverse	86.59	48_pre_0	15.13	93759308.0	1254859.0	92.74	6662361.0	16380026.0	1.16	6.15	100421669.0
D492-D485T52	150690435.0	reverse	85.01	49_pre_0	19.27	128098284.0	1876482.0	92.29	10969484.0	29045070.0	1.25	7.28	139067768.0
D492-D485T53	277798400.0	reverse	85.28	50_post_III	24.24	236901316.0	2907751.0	91.98	18610084.0	67351565.0	1.05	6.7	255511400.0
D492-D485T54	126512574.0	reverse	86.19	51_post_II	13.99	109046730.0	1543181.0	92.96	8561613.0	17703032.0	1.22	6.77	117608343.0
